name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,enrollment
Culver-Stockton College,Missouri,MO,Private,4 Year,8520.0,26680,35200,26680,35200,,,,,,,1627.0
Cumberland County College,New Jersey,NJ,Public,2 Year,,4500,4500,8700,8700,,,,,,,8318.0
Cumberland University,Tennessee,TN,Private,4 Year,9290.0,22890,32180,22890,32180,16.0,Tennessee,45500.0,81000.0,61.0,3.0,2568.0
Curry College,Massachusetts,MA,Private,4 Year,15885.0,39720,55605,39720,55605,,,,,,,5669.0
Cuyahoga Community College,Ohio,OH,Public,2 Year,,3436,3436,8136,8136,,,,,,,54244.0
Cuyamaca College,California,CA,Public,2 Year,,1428,1428,9168,9168,,,,,,,17727.0
Cypress College,California,CA,Public,2 Year,,1414,1414,9154,9154,,,,,,,36564.0
D'Youville College,New York,NY,Private,4 Year,12224.0,26750,38974,26750,38974,,,,,,,5798.0
Dabney S. Lancaster Community College,Virginia,VA,Public,2 Year,,4710,4710,10008,10008,,,,,,,2118.0
Daemen College,New York,NY,Private,4 Year,12915.0,28580,41495,28580,41495,,,,,,,5336.0
Dakota College at Bottineau,North Dakota,ND,Public,2 Year,7210.0,4568,11778,6444,13654,,,,,,,1313.0
Dakota County Technical College,Minnesota,MN,Public,2 Year,,5712,5712,5712,5712,,,,,,,4736.0
Dakota State University,South Dakota,SD,Public,4 Year,6873.0,9276,16149,12249,19122,5.0,South-Dakota,48400.0,84300.0,49.0,53.0,4837.0
Dakota Wesleyan University,South Dakota,SD,Private,4 Year,7350.0,27300,34650,27300,34650,9.0,South-Dakota,41800.0,75700.0,52.0,10.0,1431.0
Dallas Baptist University,Texas,TX,Private,4 Year,7992.0,28870,36862,28870,36862,,,,,,,10597.0
Dallas Christian College,Texas,TX,Private,4 Year,9010.0,17620,26630,17620,26630,,,,,,,605.0
Dallas Institute of Funeral Service,Texas,TX,Private,2 Year,,11870,11870,11870,11870,,,,,,,264.0
Dalton State College,Georgia,GA,Public,4 Year,8950.0,4246,13196,12668,21618,,,,,,,9115.0
Danville Area Community College,Illinois,IL,Public,2 Year,,4650,4650,7950,7950,,,,,,,5590.0
Danville Community College,Virginia,VA,Public,2 Year,,4710,4710,10008,10008,,,,,,,7709.0
Dartmouth College,New Hampshire,NH,Private,4 Year,15756.0,55453,71209,55453,71209,1.0,New-Hampshire,71500.0,130900.0,44.0,35.0,11181.0
Davenport University,Michigan,MI,Private,4 Year,9928.0,22800,32728,22800,32728,,,,,,,16121.0
Davidson College,North Carolina,NC,Private,4 Year,14372.0,51447,65819,51447,65819,3.0,North-Carolina,57300.0,106900.0,50.0,28.0,3080.0
Davidson County Community College,North Carolina,NC,Public,2 Year,,2435,2435,8195,8195,,,,,,,7885.0
Davis and Elkins College,West Virginia,WV,Private,4 Year,9450.0,29390,38840,29390,38840,,,,,,,
Davis College,New York,NY,Private,4 Year,8100.0,17150,25250,17150,25250,,,,,,,431.0
Dawson Community College,Montana,MT,Public,2 Year,6075.0,3720,9795,7770,13845,,,,,,,520.0
Daytona State College,Florida,FL,Public,2 Year,,3109,3109,11998,11998,,,,,,,25286.0
De Anza College,California,CA,Public,2 Year,,1515,1515,8940,8940,,,,,,,50305.0
Dean College,Massachusetts,MA,Private,2 Year,16836.0,39734,56570,39734,56570,,,,,,,2351.0
